t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2023-04-27","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-04-27","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-25","Turmeric","3097","Chala","32","Kerala","601","Thiruvananthapuram","Other","10500","16000","10500"
"2023-04-20","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-04-20","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-19","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-19","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-04-17","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-17","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-04-12","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-04-12","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-10","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-10","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-04-04","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-04-04","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-04","Turmeric","3091","Kondotty","32","Kerala","592","Malappuram","Other","2200","2400","2300"
"2023-04-03","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-04-03","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-01","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-04-01","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-29","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-29","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-27","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-27","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-25","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-25","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-22","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-22","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-21","Turmeric","3097","Chala","32","Kerala","601","Thiruvananthapuram","Other","11000","11500","11000"
"2023-03-20","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-20","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-15","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-15","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-14","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-14","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-13","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-13","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-11","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-11","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-10","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-10","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-08","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-08","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
"2023-03-07","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Other","1600","1700","1700"
"2023-03-07","Turmeric","1122","Thodupuzha","32","Kerala","596","Idukki","Dry","10500","11000","11000"
