t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2023-12-31","Rice","142","Manjeri","32","Kerala","592","Malappuram","Other","4400","4500","4450"
"2023-12-30","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","Mataa Parboiled","4600","5000","4800"
"2023-12-30","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","IR-8","3600","3800","3800"
"2023-12-29","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","Mataa Parboiled","4600","5000","4800"
"2023-12-29","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","IR-8","3600","3800","3800"
"2023-12-29","Rice","140","Kottayam","32","Kerala","597","Kottayam","Other","4600","5000","4800"
"2023-12-28","Rice","140","Kottayam","32","Kerala","597","Kottayam","Other","4600","5000","4800"
"2023-12-28","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","Mataa Parboiled","4600","5000","4800"
"2023-12-28","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","IR-8","3600","3800","3800"
"2023-12-27","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","IR-8","3600","3800","3800"
"2023-12-27","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","Mataa Parboiled","4600","5000","4800"
"2023-12-27","Rice","140","Kottayam","32","Kerala","597","Kottayam","Other","4600","5000","4800"
"2023-12-26","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","Mataa Parboiled","4600","5000","4800"
"2023-12-26","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","IR-8","3600","3800","3800"
"2023-12-25","Rice","140","Kottayam","32","Kerala","597","Kottayam","Other","4600","5000","4800"
"2023-12-24","Rice","140","Kottayam","32","Kerala","597","Kottayam","Other","4600","5000","4800"
"2023-12-23","Rice","140","Kottayam","32","Kerala","597","Kottayam","Other","4600","5000","4800"
"2023-12-23","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","Mataa Parboiled","4600","5000","4800"
"2023-12-23","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","IR-8","3600","3800","3800"
"2023-12-22","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","Mataa Parboiled","4600","5000","4800"
"2023-12-22","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","IR-8","3600","3800","3800"
"2023-12-21","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","IR-8","3600","3800","3800"
"2023-12-21","Rice","1122","Thodupuzha","32","Kerala","596","Idukki","Mataa Parboiled","4600","5000","4800"
"2023-12-21","Rice","142","Manjeri","32","Kerala","592","Malappuram","Other","4400","4500","4450"
