t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,yield_kg_per_ha
2025-10-04,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4200.0,4400,4400,2988.49
2025-10-04,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-10-03,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4300.0,4500,4500,2988.49
2025-10-03,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-10-03,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-10-02,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3600.0,3800,3800,2988.49
2025-10-02,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4300.0,4500,4500,2988.49
2025-09-30,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-29,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-09-28,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5000,4800,2988.49
2025-09-27,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-09-27,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-26,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-25,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-09-24,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4600.0,4800,4800,2988.49
2025-09-24,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-09-24,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-09-23,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4600.0,4800,4800,2988.49
2025-09-23,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4400.0,5200,4800,2988.49
2025-09-23,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-09-23,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-22,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-21,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4600.0,4800,4800,2988.49
2025-09-21,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-09-18,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-17,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-09-17,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-17,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4600.0,4800,4800,2988.49
2025-09-16,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-16,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-15,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4600.0,4800,4800,2988.49
2025-09-15,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-15,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-09-12,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3400.0,3600,3600,2988.49
2025-09-12,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-12,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4600.0,4800,4600,2988.49
2025-09-12,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-11,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3600.0,3800,3800,2988.49
2025-09-11,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-11,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-09-11,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-10,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4400,2988.49
2025-09-10,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3600.0,3800,3800,2988.49
2025-09-09,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-08,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-08,Rice,140,Kottayam,32,Kerala,597,Kottayam,Other,4800.0,5200,5000,2988.49
2025-09-07,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-06,Rice,142,Manjeri,32,Kerala,592,Malappuram,Other,4800.0,4900,4850,2988.49
2025-09-06,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,Mataa Parboiled,4400.0,4600,4600,2988.49
2025-09-06,Rice,1122,Thodupuzha,32,Kerala,596,Idukki,IR-8,3600.0,3800,3800,2988.49
